MainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
120,Caddy Rd,Sanford St,Monson St,7,12:00:00.0000000,16:00:00.0000000,Even,0.0794,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
121,Bentham Rd,Draper St,Mount Ida Rd,3,08:00:00.0000000,12:00:00.0000000,Odd,0.0561,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
122,Bennett St,Market St,Oakland St,4,08:00:00.0000000,12:00:00.0000000,Even,0.4112,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
123,Ashton St,Callender St,Woodrow Ave,7,08:00:00.0000000,12:00:00.0000000,Even,0.2080,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
124,Clifford St,Warren St,Blue Hill Ave,10R,08:00:00.0000000,12:00:00.0000000,Even,0.2313,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
125,Boston St,Dorchester Ave,Songin Father Anthony Way,5,09:00:00.0000000,13:00:00.0000000,Odd,0.1057,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
126,Brent St,Washington St,Melbourne St,7,08:00:00.0000000,12:00:00.0000000,Even,0.2981,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
127,Brackett St,Washington St,Faneuil St,4,08:00:00.0000000,12:00:00.0000000,Even,0.1229,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
128,Clarkson St,Hendry St,Quincy St,3,08:00:00.0000000,12:00:00.0000000,Even,0.0602,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
129,Auburn St,Main St,Bunker Hill St,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.1320,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
130,Bennett St,Market St,South Hobbart St,4,12:00:00.0000000,16:00:00.0000000,Even,0.3021,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
131,Clarkwood St,Blue Hill Ave,Norfolk St,7,12:00:00.0000000,16:00:00.0000000,Even,0.1975,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
132,Auckland St,Savin Hill Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Even,0.2811,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
133,Albion Pl,Main St,Auburn Sq,1C,12:00:00.0000000,16:00:00.0000000,Even,0.0725,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
134,Auckland St,Savin Hill Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Odd,0.2811,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
135,Auckland St,Belfort St,Savin Hill Ave,3,08:00:00.0000000,12:00:00.0000000,Even,0.1634,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
136,Auckland St,Belfort St,Savin Hill Ave,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1634,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
137,Ames St,Westview St,Dead End,7,08:00:00.0000000,12:00:00.0000000,Even,0.3042,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
